"submission_date","state","tot_cases","new_case","pnew_case","tot_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","conf_cases","prob_cases","conf_death","prob_death"
"2020-07-07T00:00:00.000","MD","70396","492.0","0","3392","15.0","0","2020-07-09T00:00:00.000","N/A","Agree",NA,NA,"3253.0","139"
"2022-03-20T00:00:00.000","AL","1290698","66.0","7","19473","9.0","3","2022-03-20T00:00:00.000","Agree","Agree","929760.0","360938","14951.0","4522"
"2021-10-16T00:00:00.000","GU","16900","54.0","0","222","0.0","0","2021-10-18T12:41:38.760","Not agree","Not agree",NA,NA,NA,NA
"2021-07-10T00:00:00.000","MD","463107","127.0","0","9799","0.0","0","2021-07-12T00:00:00.000","N/A","Agree",NA,NA,"9582.0","217"
"2021-12-26T00:00:00.000","CT","474557","0.0","0","9077","0.0","0","2021-12-27T16:13:05.921","Agree","Agree","426217.0","48340","7426.0","1651"
"2020-09-15T00:00:00.000","ND","16333","269.0","0","177","5.0","0","2020-09-16T13:53:41.027","Agree","Not agree","16333.0","0",NA,NA
"2022-01-21T00:00:00.000","WI","1446207","12982.0","1143","11946","79.0","13","2022-01-22T14:22:36.462","Agree","Agree","1270151.0","176056","10755.0","1191"
"2021-12-11T00:00:00.000","VI","7605","7.0","0","87","0.0","0","2021-12-13T13:44:32.797",NA,NA,NA,NA,NA,NA
"2022-06-09T00:00:00.000","MD","1107391","1551.0","0","14671","11.0","0","2022-06-10T13:14:48.749","N/A","Agree",NA,NA,"14404.0","267"
"2020-11-07T00:00:00.000","AL","201648","1377.0","105","4733","17.0","2","2020-11-07T00:00:00.000","Agree","Agree","172117.0","29531","4049.0","684"
"2021-06-13T00:00:00.000","IL","1387595","298.0","0","25481","12.0","1","2021-06-14T15:07:59.968","Agree","Agree","1387595.0","0","23061.0","2420"
"2021-03-26T00:00:00.000","NE","209432","583.0","0","2175","0.0","0","2021-03-28T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-09-08T00:00:00.000","GU","1713","94.0","0","19","5.0","0","2020-09-09T13:47:50.836","Not agree","Not agree",NA,NA,NA,NA
"2020-04-09T00:00:00.000","MD","6185","656.0","0","198","31.0","2","2020-04-11T00:00:00.000","N/A","Agree",NA,NA,"188.0","10"
"2021-12-13T00:00:00.000","MT","193905","187.0","43","2830","9.0","0","2021-12-14T14:53:14.554","Agree","Agree","160227.0","33678","2830.0","0"
"2021-04-27T00:00:00.000","AL","526340","423.0","153","11171","6.0","2","2021-04-27T00:00:00.000","Agree","Agree","409648.0","116692","8925.0","2246"
"2022-04-24T00:00:00.000","MD","1025925","0.0","0","14425","0.0","0","2022-04-25T13:33:47.001","N/A","Agree",NA,NA,"14161.0","264"
"2020-03-30T00:00:00.000","NV","1044","124.0",NA,"17","2.0",NA,"2020-03-29T16:22:39.452","Agree",NA,NA,NA,NA,NA
"2022-04-01T00:00:00.000","AL","1295014","275.0","152","19551","2.0","0","2022-04-01T00:00:00.000","Agree","Agree","932487.0","362527","15002.0","4549"
"2022-06-03T00:00:00.000","NH","326610","315.0","0","2543","1.0","0","2022-06-04T13:27:07.844","Not agree","Not agree",NA,NA,NA,NA
"2021-10-18T00:00:00.000","WI","858050","1422.0","99","9164","1.0","0","2021-10-19T15:01:15.717","Agree","Agree","769212.0","88838","8251.0","913"
"2021-10-26T00:00:00.000","NE","282287","598.0","242","2942","1.0","0","2021-10-27T14:21:35.386","Agree","Agree","215631.0","66656","2469.0","473"
"2020-08-14T00:00:00.000","AL","105674","1116.0","102","2867","33.0","6","2020-08-14T00:00:00.000","Agree","Agree","100672.0","5002","2555.0","312"
"2022-05-03T00:00:00.000","ND","241385","114.0","46","2268","0.0","0","2022-05-04T13:36:27.696","Agree","Not agree","181018.0","60367",NA,NA
"2020-09-15T00:00:00.000","MT","9244","137.0","0","140","2.0","0","2020-09-16T13:53:41.027","Agree","Agree","9244.0","0","140.0","0"
"2021-08-23T00:00:00.000","MO","741788","2319.0","549","10376","170.0","0","2021-08-24T14:24:26.650","Not agree","Not agree",NA,NA,NA,NA
"2022-04-06T00:00:00.000","MS","795408","110.0","9","12410","3.0","0","2022-04-07T14:35:23.182","Agree","Agree","437106.0","358302","8177.0","4233"
