Name,Checked URLs,Violations,Score,,Accessibility Score
www.move.va.gov,19,16,0.25,0.8421052632,90.70%
www.caregiver.va.gov,37,31,0.26,0.8378378378,90.75%
www.providence.va.gov,52,43,0.27,0.8269230769,90.87%
www.my.va.gov,5,4,0.32,0.8,91.17%
www.northernindiana.va.gov,53,42,0.34,0.7924528302,91.25%
www.parkinsons.va.gov,13,10,0.38,0.7692307692,91.51%
www.qualityandsafety.va.gov,4,3,0.42,0.75,91.72%
www.accesstocare.va.gov,481,322,0.58,0.6694386694,92.61%
care.va.gov,3,2,0.58,0.6666666667,92.64%
www.warrelatedillness.va.gov,83,51,0.70,0.6144578313,93.22%
www.atlanta.va.gov,62,38,0.71,0.6129032258,93.23%
www.nebraska.va.gov,75,42,0.84,0.56,93.82%
www.minneapolis.va.gov,68,38,0.84,0.5588235294,93.83%
www.pbm.va.gov,6,3,1.00,0.5,94.48%
www.visn8.va.gov,4,2,1.00,0.5,94.48%
www.publichealth.va.gov,337,166,1.02,0.4925816024,94.56%
www.womenshealth.va.gov,87,40,1.12,0.4597701149,94.92%
www.simlearn.va.gov,22,10,1.14,0.4545454545,94.98%
www.veteranshealthlibrary.va.gov,204,85,1.26,0.4166666667,95.40%
www.vetcenter.va.gov,10,4,1.32,0.4,95.58%
www.bva.va.gov,11,4,1.46,0.3636363636,95.99%
www.lasvegas.va.gov,58,21,1.47,0.3620689655,96.00%
www.grandjunction.va.gov,3,1,1.58,0.3333333333,96.32%
www.oefoif.va.gov,15,5,1.58,0.3333333333,96.32%
www.va.gov,4863,1474,1.72,0.3031050792,96.65%
www.saltlakecity.va.gov,73,22,1.73,0.301369863,96.67%
www.maryland.va.gov,62,18,1.78,0.2903225806,96.79%
www.portland.va.gov,82,23,1.83,0.2804878049,96.90%
www.ethics.va.gov,18,5,1.85,0.2777777778,96.93%
www.indianapolis.va.gov,60,16,1.91,0.2666666667,97.06%
www.siouxfalls.va.gov,49,13,1.91,0.2653061224,97.07%
www.asheville.va.gov,52,13,2.00,0.25,97.24%
www.cidrr8.research.va.gov,12,3,2.00,0.25,97.24%
www.hawaii.va.gov,52,12,2.12,0.2307692308,97.45%
www.cfm.va.gov,22,5,2.14,0.2272727273,97.49%
www.cheyenne.va.gov,55,12,2.20,0.2181818182,97.59%
www.prevention.va.gov,65,14,2.22,0.2153846154,97.62%
www.hcsc.va.gov,5,1,2.32,0.2,97.79%
www.section508.va.gov,5,1,2.32,0.2,97.79%
www.northtexas.va.gov,73,14,2.38,0.1917808219,97.88%
www.northflorida.va.gov,64,12,2.42,0.1875,97.93%
www.maine.va.gov,59,11,2.42,0.186440678,97.94%
www.danville.va.gov,49,9,2.44,0.1836734694,97.97%
www.durham.va.gov,61,11,2.47,0.1803278689,98.01%
www.vetbiz.va.gov,23,4,2.52,0.1739130435,98.08%
www.bronx.va.gov,48,8,2.58,0.1666666667,98.16%
www.hampton.va.gov,48,8,2.58,0.1666666667,98.16%
www.cincinnati.va.gov,52,8,2.70,0.1538461538,98.30%
www.reno.va.gov,53,8,2.73,0.1509433962,98.33%
www.visn19.va.gov,20,3,2.74,0.15,98.34%
www.columbus.va.gov,47,7,2.75,0.1489361702,98.36%
www.erie.va.gov,54,8,2.75,0.1481481481,98.36%
www.milwaukee.va.gov,54,8,2.75,0.1481481481,98.36%
www.oprm.va.gov,27,4,2.75,0.1481481481,98.36%
www.denver.va.gov,61,9,2.76,0.1475409836,98.37%
www.clarksburg.va.gov,48,7,2.78,0.1458333333,98.39%
www.westpalmbeach.va.gov,62,9,2.78,0.1451612903,98.40%
www.stcloud.va.gov,49,7,2.81,0.1428571429,98.42%
www.caribbean.va.gov,59,8,2.88,0.1355932203,98.50%
